n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,bootstrap,class_weight,max_features,accuracy,f1_score,recall,precision,roc_auc,cv_score,train_score,overfitting
300,entropy,3,2,1,False,balanced,sqrt,0.7081157091201286,0.594700139470014,0.6087949743003997,0.5812431842966194,0.7596631222461395,0.7039377777744134,0.7102169981916817,OK
300,entropy,3,2,1,False,balanced,log2,0.7081157091201286,0.594700139470014,0.6087949743003997,0.5812431842966194,0.7596631222461395,0.7039377777744134,0.7102169981916817,OK
300,entropy,3,2,1,False,,sqrt,0.7141422257934914,0.4469490866692577,0.32838378069674473,0.6995133819951338,0.7599298253935023,0.7141856767914797,0.7166968053044003,OK
300,entropy,3,2,1,False,,log2,0.7141422257934914,0.4469490866692577,0.32838378069674473,0.6995133819951338,0.7599298253935023,0.7141856767914797,0.7166968053044003,OK
300,entropy,3,2,1,True,balanced,sqrt,0.7095218963439133,0.5972144846796658,0.6122215876641919,0.5829255029907559,0.7605626038297298,0.7061984910494613,0.7094133011854531,OK
300,entropy,3,2,1,True,balanced,log2,0.7095218963439133,0.5972144846796658,0.6122215876641919,0.5829255029907559,0.7605626038297298,0.7061984910494613,0.7094133011854531,OK
300,entropy,3,2,1,True,,sqrt,0.7127360385697067,0.43745082612116454,0.31753283837806967,0.7029077117572693,0.760742234682134,0.713532587172293,0.7171488848704038,OK
300,entropy,3,2,1,True,,log2,0.7127360385697067,0.43745082612116454,0.31753283837806967,0.7029077117572693,0.760742234682134,0.713532587172293,0.7171488848704038,OK
300,entropy,3,2,2,False,balanced,sqrt,0.7081157091201286,0.594700139470014,0.6087949743003997,0.5812431842966194,0.7596631222461395,0.7039377777744134,0.7102169981916817,OK
300,entropy,3,2,2,False,balanced,log2,0.7081157091201286,0.594700139470014,0.6087949743003997,0.5812431842966194,0.7596631222461395,0.7039377777744134,0.7102169981916817,OK
300,entropy,3,2,2,False,,sqrt,0.7141422257934914,0.4469490866692577,0.32838378069674473,0.6995133819951338,0.7599298253935023,0.7141856767914797,0.7166968053044003,OK
300,entropy,3,2,2,False,,log2,0.7141422257934914,0.4469490866692577,0.32838378069674473,0.6995133819951338,0.7599298253935023,0.7141856767914797,0.7166968053044003,OK
300,entropy,3,2,2,True,balanced,sqrt,0.7095218963439133,0.5972144846796658,0.6122215876641919,0.5829255029907559,0.7605655239371828,0.7062487296829705,0.7094133011854531,OK
300,entropy,3,2,2,True,balanced,log2,0.7095218963439133,0.5972144846796658,0.6122215876641919,0.5829255029907559,0.7605655239371828,0.7062487296829705,0.7094133011854531,OK
300,entropy,3,2,2,True,,sqrt,0.7127360385697067,0.43745082612116454,0.31753283837806967,0.7029077117572693,0.7607406418962507,0.713532587172293,0.7171488848704038,OK
300,entropy,3,2,2,True,,log2,0.7127360385697067,0.43745082612116454,0.31753283837806967,0.7029077117572693,0.7607406418962507,0.713532587172293,0.7171488848704038,OK
300,entropy,3,2,4,False,balanced,sqrt,0.7081157091201286,0.594700139470014,0.6087949743003997,0.5812431842966194,0.7596841824150422,0.7036363459733583,0.7102169981916817,OK
300,entropy,3,2,4,False,balanced,log2,0.7081157091201286,0.594700139470014,0.6087949743003997,0.5812431842966194,0.7596841824150422,0.7036363459733583,0.7102169981916817,OK
300,entropy,3,2,4,False,,sqrt,0.7141422257934914,0.4469490866692577,0.32838378069674473,0.6995133819951338,0.7599563718248921,0.7141856767914797,0.7166968053044003,OK
300,entropy,3,2,4,False,,log2,0.7141422257934914,0.4469490866692577,0.32838378069674473,0.6995133819951338,0.7599563718248921,0.7141856767914797,0.7166968053044003,OK
300,entropy,3,2,4,True,balanced,sqrt,0.7079148252310165,0.5965593784683684,0.613934894346088,0.5801403130059363,0.7606418006833761,0.7062989557000473,0.708710066305003,OK
300,entropy,3,2,4,True,balanced,log2,0.7079148252310165,0.5965593784683684,0.613934894346088,0.5801403130059363,0.7606418006833761,0.7062989557000473,0.708710066305003,OK
300,entropy,3,2,4,True,,sqrt,0.7127360385697067,0.43745082612116454,0.31753283837806967,0.7029077117572693,0.7607735594711738,0.7134823485387838,0.7171488848704038,OK
300,entropy,3,2,4,True,,log2,0.7127360385697067,0.43745082612116454,0.31753283837806967,0.7029077117572693,0.7607735594711738,0.7134823485387838,0.7171488848704038,OK
300,entropy,3,4,1,False,balanced,sqrt,0.7081157091201286,0.594700139470014,0.6087949743003997,0.5812431842966194,0.7596631222461395,0.7039377777744134,0.7102169981916817,OK
300,entropy,3,4,1,False,balanced,log2,0.7081157091201286,0.594700139470014,0.6087949743003997,0.5812431842966194,0.7596631222461395,0.7039377777744134,0.7102169981916817,OK
300,entropy,3,4,1,False,,sqrt,0.7141422257934914,0.4469490866692577,0.32838378069674473,0.6995133819951338,0.7599298253935023,0.7141856767914797,0.7166968053044003,OK
300,entropy,3,4,1,False,,log2,0.7141422257934914,0.4469490866692577,0.32838378069674473,0.6995133819951338,0.7599298253935023,0.7141856767914797,0.7166968053044003,OK
300,entropy,3,4,1,True,balanced,sqrt,0.7095218963439133,0.5972144846796658,0.6122215876641919,0.5829255029907559,0.7605626038297298,0.7061984910494613,0.7094133011854531,OK
300,entropy,3,4,1,True,balanced,log2,0.7095218963439133,0.5972144846796658,0.6122215876641919,0.5829255029907559,0.7605626038297298,0.7061984910494613,0.7094133011854531,OK
300,entropy,3,4,1,True,,sqrt,0.7127360385697067,0.43745082612116454,0.31753283837806967,0.7029077117572693,0.760742234682134,0.713532587172293,0.7171488848704038,OK
300,entropy,3,4,1,True,,log2,0.7127360385697067,0.43745082612116454,0.31753283837806967,0.7029077117572693,0.760742234682134,0.713532587172293,0.7171488848704038,OK
300,entropy,3,4,2,False,balanced,sqrt,0.7081157091201286,0.594700139470014,0.6087949743003997,0.5812431842966194,0.7596631222461395,0.7039377777744134,0.7102169981916817,OK
300,entropy,3,4,2,False,balanced,log2,0.7081157091201286,0.594700139470014,0.6087949743003997,0.5812431842966194,0.7596631222461395,0.7039377777744134,0.7102169981916817,OK
300,entropy,3,4,2,False,,sqrt,0.7141422257934914,0.4469490866692577,0.32838378069674473,0.6995133819951338,0.7599298253935023,0.7141856767914797,0.7166968053044003,OK
300,entropy,3,4,2,False,,log2,0.7141422257934914,0.4469490866692577,0.32838378069674473,0.6995133819951338,0.7599298253935023,0.7141856767914797,0.7166968053044003,OK
