Feature,Importance
codigo_concesionario_origen,0.25834873
organic_search,0.21819222
dif_days_group,0.11706306
campaign_cod,0.11488327
paid_search_group,0.105667114
cc,0.05884896
channel_max,0.03884007
config,0.037084933
showroom,0.029173598
Max_Mosaic_G,0.02189806
