n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,bootstrap,class_weight,max_features,accuracy,f1_score,recall,precision,roc_auc,cv_score,train_score,overfitting
300,entropy,3,2,1,False,balanced,sqrt,0.7264367816091954,0.5696202531645569,0.773955773955774,0.45064377682403434,0.8168556266830835,0.7050047720568186,0.7113283496262219,OK
300,entropy,3,2,1,False,balanced,log2,0.7264367816091954,0.5696202531645569,0.773955773955774,0.45064377682403434,0.8168556266830835,0.7050047720568186,0.7113283496262219,OK
300,entropy,3,2,1,False,,sqrt,0.774712643678161,0.10091743119266056,0.05405405405405406,0.7586206896551724,0.8177901354945616,0.7754453919697233,0.7771707878090857,OK
300,entropy,3,2,1,False,,log2,0.774712643678161,0.10091743119266056,0.05405405405405406,0.7586206896551724,0.8177901354945616,0.7754453919697233,0.7771707878090857,OK
300,entropy,3,2,1,True,balanced,sqrt,0.7218390804597701,0.5615942028985507,0.7616707616707616,0.4447632711621234,0.8184490840154756,0.7131980424237916,0.7150661299597469,OK
300,entropy,3,2,1,True,balanced,log2,0.7218390804597701,0.5615942028985507,0.7616707616707616,0.4447632711621234,0.8184490840154756,0.7131980424237916,0.7150661299597469,OK
300,entropy,3,2,1,True,,sqrt,0.774712643678161,0.0967741935483871,0.051597051597051594,0.7777777777777778,0.8200720327502022,0.7747265880000331,0.7777458309373203,OK
300,entropy,3,2,1,True,,log2,0.774712643678161,0.0967741935483871,0.051597051597051594,0.7777777777777778,0.8200720327502022,0.7747265880000331,0.7777458309373203,OK
300,entropy,3,2,2,False,balanced,sqrt,0.7264367816091954,0.5696202531645569,0.773955773955774,0.45064377682403434,0.8168556266830835,0.7050047720568186,0.7113283496262219,OK
300,entropy,3,2,2,False,balanced,log2,0.7264367816091954,0.5696202531645569,0.773955773955774,0.45064377682403434,0.8168556266830835,0.7050047720568186,0.7113283496262219,OK
300,entropy,3,2,2,False,,sqrt,0.774712643678161,0.10091743119266056,0.05405405405405406,0.7586206896551724,0.8177901354945616,0.7754453919697233,0.7771707878090857,OK
300,entropy,3,2,2,False,,log2,0.774712643678161,0.10091743119266056,0.05405405405405406,0.7586206896551724,0.8177901354945616,0.7754453919697233,0.7771707878090857,OK
300,entropy,3,2,2,True,balanced,sqrt,0.7218390804597701,0.5615942028985507,0.7616707616707616,0.4447632711621234,0.8184490840154757,0.7129104795194063,0.7150661299597469,OK
300,entropy,3,2,2,True,balanced,log2,0.7218390804597701,0.5615942028985507,0.7616707616707616,0.4447632711621234,0.8184490840154757,0.7129104795194063,0.7150661299597469,OK
300,entropy,3,2,2,True,,sqrt,0.774712643678161,0.0967741935483871,0.051597051597051594,0.7777777777777778,0.8200683463249103,0.7748703694522258,0.7777458309373203,OK
300,entropy,3,2,2,True,,log2,0.774712643678161,0.0967741935483871,0.051597051597051594,0.7777777777777778,0.8200683463249103,0.7748703694522258,0.7777458309373203,OK
300,entropy,3,2,4,False,balanced,sqrt,0.7264367816091954,0.5696202531645569,0.773955773955774,0.45064377682403434,0.8168500970451459,0.7048609906046257,0.7113283496262219,OK
300,entropy,3,2,4,False,balanced,log2,0.7264367816091954,0.5696202531645569,0.773955773955774,0.45064377682403434,0.8168500970451459,0.7048609906046257,0.7113283496262219,OK
300,entropy,3,2,4,False,,sqrt,0.774712643678161,0.10091743119266056,0.05405405405405406,0.7586206896551724,0.8177956651324993,0.7755891734219159,0.7771707878090857,OK
300,entropy,3,2,4,False,,log2,0.774712643678161,0.10091743119266056,0.05405405405405406,0.7586206896551724,0.8177956651324993,0.7755891734219159,0.7771707878090857,OK
300,entropy,3,2,4,True,balanced,sqrt,0.7224137931034482,0.56289592760181,0.7641277641277642,0.4455587392550143,0.8184914779063316,0.7129104795194063,0.7152098907418056,OK
300,entropy,3,2,4,True,balanced,log2,0.7224137931034482,0.56289592760181,0.7641277641277642,0.4455587392550143,0.8184914779063316,0.7129104795194063,0.7152098907418056,OK
300,entropy,3,2,4,True,,sqrt,0.774712643678161,0.0967741935483871,0.051597051597051594,0.7777777777777778,0.8200536006237432,0.7748703694522258,0.7776020701552616,OK
300,entropy,3,2,4,True,,log2,0.774712643678161,0.0967741935483871,0.051597051597051594,0.7777777777777778,0.8200536006237432,0.7748703694522258,0.7776020701552616,OK
300,entropy,3,4,1,False,balanced,sqrt,0.7264367816091954,0.5696202531645569,0.773955773955774,0.45064377682403434,0.8168556266830835,0.7050047720568186,0.7113283496262219,OK
