precio_total,margen,codigo_modelo_codificado,total_ventas
"22927,27","0,12300000183284282",37L31K37L43N47O31K13H7D10C43N,836
"23775,55","0,14759999670088292",59Q17B83W29J47O31K59Q17G10C43N,836
"26158,89","0,14759999670088292",73U79V7D71T47O31K71T41M89X47O,820
"28487,28","0,14759999670088292",73U17B19H89X47O31K11E41M10C43N,812
"28387,87","0,12300000183284282",43N53P17B19H47O31K19H,808
"28328,23","0,14759999670088292",73U41M43N13F47O31K89X41M10C43N,802
"27695,87","0,12300000183284282",43N53P10C11E47O31K101Z,782
"13295,04","0,11070000439882278",43N59Q19H10C47O31K11E5C10C43N,760
"17439,67","0,12300000183284282",37L31K71T10C47O31K89X,758
"23039,96","0,14759999670088292",73U17B19H31K47O31K5C,748
"13377,69","0,11070000439882278",43N83W29J31K47O31K19I5C10C43N,746
"22749,7","0,12300000183284282",37L43N89X31K47O31K19H,744
"23819,83","0,12300000183284282",37L43N89X53P47O31K19H,738
"31000,19","0,14759999670088292",73U79V7D83W47O31K47O41M89X47O,732
"25712,4","0,12300000183284282",43N53P17B13F47O31K23I,728
"28487,28","0,14759999670088292",73U41M47O17G47O31K11D41M10C43N,722
"32510,71","0,14759999670088292",73U17B19H79V47O31K71T41M10C43N,708
"25584,69","0,14759999670088292",73U37L23I83W47O31K12E41M10C43N,706
"24795,04","0,12300000183284282",37L43N83W71T47O31K103A,688
"20805,16","0,12300000183284282",43N47O13F83W47O31K41M,678
"21807,36","0,12300000183284282",43N79V23I13G47O31K61R41M89X47O,662
"28150,41","0,12300000183284282",43N53P10C17G47O31K89X,658
27200,"0,12300000183284282",43N53P17B13F47O37L31K,656
"29237,28","0,14759999670088292",73U17B19H71T47O31K53P41M10C43N,654
"13047,11","0,11070000439882278",43N83W29J31K47O31K19I,648
"26320,28","0,12300000183284282",43N59Q79V5C47O37L43N71T31K89X,642
"23199,01","0,12300000183284282",43N79V29J37L47O31K53P41M89X47O,640
"27902,48","0,14759999670088292",59Q17B89X17G47O31K47O17G10C43N,636
"13708,26","0,11070000439882278",43N59Q19H10C47O31K17G17B47O89X,634
"25208,26","0,12300000183284282",37L43N89X53P47O37L47O,630
"25326,24","0,12300000183284282",43N59Q79V5C47O31K23I71T31K89X,628
"14080,17","0,11070000439882278",43N59Q19H10C47O31K13H5C10C43N,610
"18503,18","0,12300000183284282",43N79V23I13G47O31K73U13H10C43N,602
"24888,87","0,14759999670088292",59Q41M31K61R47O31K71T41M89X47O,602
"32789,46","0,14759999670088292",73U53P3B101Z47O31K59Q41M10C43N,594
"26161,23","0,14759999670088292",59Q41M31K61R47O31K73U41M89X47O,582
"29348,76","0,12300000183284282",43N53P10C11E47O31K10C,574
"27449,5","0,14759999670088292",73U79V7D47O47O31K41M41M89X47O,572
"16952,07","0,11070000439882278",43N31K43N13F47O37L37L,560
"28208,26","0,14759999670088292",59Q17B83W11E47O31K37L17G10C43N,560
"26320,28","0,12300000183284282",43N59Q79V5C47O37L43N10C41M37L,556
"25028,03","0,14759999670088292",73U17B19H31K47O31K13F41M10C43N,556
"28232,8","0,14759999670088292",73U37L23I17B47O31K101Z41M10C43N,556
"25505,79","0,12300000183284282",43N53P11D7D47O31K13F,546
"20923,71","0,12300000183284282",43N79V29J31K47O31K47O41M89X47O,532
"25799,4","0,14759999670088292",89X43N17G47O47O37L13G41M89X47O,516
"30155,07","0,14759999670088292",73U17B19H71T47O31K59Q41M10C43N,512
"29348,76","0,12300000183284282",43N53P10C17G47O31K19I10C41M37L,508
"13749,59","0,11070000439882278",43N59Q19H10C47O31K13H,492
"24312,33","0,14759999670088292",73U37L23I11D47O31K59Q,486
"26580,17","0,14759999670088292",59Q17B83W7D47O31K61R17G10C43N,484
"18729,82","0,12300000183284282",43N61R2A83W47O31K89X13H10C43N,480
"20278,51","0,12300000183284282",43N61R11E41M47O31K83W41M89X47O,476
"26578,73","0,14759999670088292",73U41M43N13F47O31K43N,470
"28745,73","0,12300000183284282",43N59Q37L41M47O37L11E10C41M37L,466
